sightDate,year,time,quad,fishArea,lat,long,count,comments,channel,source
4/5/14,2014,8:28,383,8,48.06,-122.4,1,unknown,hotline,public
4/16/13,2013,12:34,384,8,48.02,-122.31,1,723,orca network,reliable
4/16/13,2013,12:34,384,8,48.02,-122.31,1,49,orca network,reliable
4/16/13,2013,12:34,384,8,48.02,-122.31,1,383,orca network,reliable
3/19/19,2019,16:28,373,8,48.23,-122.67,1,crc-44,orca network,reliable
3/19/19,2019,16:28,373,8,48.23,-122.67,1,crc-56,orca network,reliable
2/6/15,2015,0:00,421,11,47.28,-122.43,1,unknown,orca network,reliable
4/20/14,2014,12:17,384,8,48.02,-122.31,1,723,orca network,public
4/20/14,2014,12:17,384,8,48.02,-122.31,1,unknown,orca network,public
3/31/16,2016,8:58,378,8,48.13,-122.38,3,unknown,orca network,public
2/24/15,2015,14:12,397,9,47.9,-122.46,4,unknown,hotline,public
3/17/18,2018,12:00,384,8,48.02,-122.31,1,crc-44,orca network,public
11/28/21,2021,8:46,426,13,47.18,-122.61,1,shrimp,orca network,public
8/6/18,2018,0:00,381,8,48.1,-122.44,1,185,orca network,public
12/10/18,2018,0:00,385,8,48.01,-122.22,1, crc2246,orca network,reliable
12/9/18,2018,0:00,385,8,48.01,-122.22,1,crc2246,orca network,reliable
1/26/19,2019,13:00,385,8,48.01,-122.22,1,crc-2246,orca network,public
7/4/18,2018,13:40,385,8,48.01,-122.22,1,185,orca network,reliable
11/26/21,2021,12:00,426,13,47.18,-122.61,1,shrimp,orca network,public
4/29/18,2018,0:00,386,8,47.96,-122.29,1,shackleton,orca network,reliable
4/29/18,2018,0:00,386,8,47.96,-122.29,1,earhart,orca network,reliable
3/21/18,2018,0:00,384,8,48.02,-122.31,1,383,orca network,reliable
3/21/18,2018,0:00,384,8,48.02,-122.31,1,22,orca network,reliable
3/23/18,2018,13:48,384,8,48.02,-122.31,1,185,orca network,reliable
3/11/19,2019,12:10,384,8,48.02,-122.31,1,crc-49,orca network,reliable
3/11/19,2019,12:10,384,8,48.02,-122.31,1,crc-53,orca network,reliable
3/30/14,2014,14:55,379,8,48.12,-122.52,2,unknown,orca network,public
8/11/16,2016,15:50,221,7,48.44,-122.76,1,723,orca network,reliable
8/15/16,2016,15:30,180,19C,48.5,-123.25,1,723,orca network,reliable
8/11/16,2016,14:14,389,9,48.09,-122.63,1,723,orca network,public
8/15/16,2016,0:00,162,18C,48.74,-123.3,1,723,orca network,reliable
3/19/18,2018,16:35,384,8,48.02,-122.31,1,49,orca network,public
3/19/18,2018,16:35,384,8,48.02,-122.31,1,185,orca network,public
3/21/19,2019,0:00,383,8,48.06,-122.4,1,crc-531,orca network,public
3/17/19,2019,14:25,398,9,47.89,-122.36,1,crc-53,orca network,public
3/17/19,2019,14:25,398,9,47.89,-122.36,1,crc-383,orca network,public
3/21/19,2019,11:17,371,8,48.27,-122.45,1,crc-21,orca network,reliable
12/22/18,2018,13:30,385,8,48.01,-122.22,1,2246,orca network,reliable
12/22/18,2018,13:30,385,8,48.01,-122.22,1,185,orca network,reliable
3/13/16,2016,12:59,381,8,48.1,-122.44,1,723,orca network,reliable
4/2/20,2020,9:39,381,8,48.1,-122.44,1,531,orca network,public
1/16/19,2019,14:00,372,8,48.27,-122.56,1,crc185,orca network,reliable
7/9/18,2018,13:30,385,8,48.01,-122.22,1,crc-185,orca network,reliable
7/5/18,2018,18:45,384,8,48.02,-122.31,1,crc-185,orca network,reliable
7/3/18,2018,13:49,385,8,48.01,-122.22,1,crc-185,orca network,reliable
7/1/18,2018,10:55,386,8,47.96,-122.29,1,crc-185,orca network,reliable
5/20/18,2018,10:00,380,8,48.06,-122.52,1,crc-185,orca network,public
8/9/18,2018,0:00,378,8,48.13,-122.38,1,crc-185,orca network,public
6/22/18,2018,0:00,384,8,48.02,-122.31,1,crc-185,orca network,reliable
4/15/18,2018,18:30,383,8,48.06,-122.4,1,crc-185,orca network,reliable
4/6/18,2018,14:05,384,8,48.02,-122.31,1,crc-185,orca network,reliable
4/24/16,2016,15:00,384,8,48.02,-122.31,1,723,orca network,reliable
4/24/16,2016,15:00,384,8,48.02,-122.31,1,21,orca network,reliable
4/24/16,2016,15:00,384,8,48.02,-122.31,1,patch,orca network,reliable
5/16/19,2019,0:00,386,8,47.96,-122.29,1,patch ,orca network,reliable
5/16/19,2019,0:00,386,8,47.96,-122.29,1,shackleton,orca network,reliable
5/16/19,2019,0:00,386,8,47.96,-122.29,1,earhart,orca network,reliable
5/16/19,2019,0:00,386,8,47.96,-122.29,1,dubknuck,orca network,reliable
